철도_id,출발시간,도착시간,출발정류장,도착정류장
33,07:42:00,07:45:00,마산,장기
33,07:45:00,07:48:00,장기,운양
33,07:48:00,07:52:00,운양,걸포북변
33,07:52:00,07:55:00,걸포북변,사우
33,07:55:00,07:57:00,사우,풍무
33,07:57:00,08:02:00,풍무,고촌
33,08:02:00,08:09:00,고촌,김포공항
34,07:38:00,07:41:00,양촌,구래
34,07:41:00,07:45:00,구래,마산
34,07:45:00,07:49:00,마산,장기
34,07:49:00,07:51:00,장기,운양
34,07:51:00,07:55:00,운양,걸포북변
34,07:55:00,07:58:00,걸포북변,사우
34,07:58:00,08:00:00,사우,풍무
34,08:00:00,08:05:00,풍무,고촌
34,08:05:00,08:12:00,고촌,김포공항
35,07:42:00,07:45:00,양촌,구래
35,07:45:00,07:48:00,구래,마산
35,07:48:00,07:52:00,마산,장기
35,07:52:00,07:54:00,장기,운양
35,07:54:00,07:58:00,운양,걸포북변
35,07:58:00,08:01:00,걸포북변,사우
35,08:01:00,08:04:00,사우,풍무
35,08:04:00,08:08:00,풍무,고촌
35,08:08:00,08:15:00,고촌,김포공항
36,07:45:00,07:48:00,양촌,구래
36,07:48:00,07:51:00,구래,마산
36,07:51:00,07:55:00,마산,장기
36,07:55:00,07:57:00,장기,운양
36,07:57:00,08:01:00,운양,걸포북변
36,08:01:00,08:04:00,걸포북변,사우
36,08:04:00,08:07:00,사우,풍무
36,08:07:00,08:11:00,풍무,고촌
36,08:11:00,08:18:00,고촌,김포공항
37,07:48:00,07:51:00,양촌,구래
37,07:51:00,07:54:00,구래,마산
37,07:54:00,07:58:00,마산,장기
37,07:58:00,08:00:00,장기,운양
37,08:00:00,08:05:00,운양,걸포북변
37,08:05:00,08:07:00,걸포북변,사우
37,08:07:00,08:10:00,사우,풍무
37,08:10:00,08:14:00,풍무,고촌
37,08:14:00,08:21:00,고촌,김포공항
38,07:51:00,07:54:00,양촌,구래
38,07:54:00,07:57:00,구래,마산
38,07:57:00,08:01:00,마산,장기
38,08:01:00,08:04:00,장기,운양
38,08:04:00,08:08:00,운양,걸포북변
38,08:08:00,08:10:00,걸포북변,사우
38,08:10:00,08:13:00,사우,풍무
38,08:13:00,08:17:00,풍무,고촌
38,08:17:00,08:24:00,고촌,김포공항
39,07:54:00,07:57:00,양촌,구래
39,07:57:00,08:00:00,구래,마산
39,08:00:00,08:04:00,마산,장기
39,08:04:00,08:07:00,장기,운양
39,08:07:00,08:11:00,운양,걸포북변
39,08:11:00,08:14:00,걸포북변,사우
39,08:14:00,08:16:00,사우,풍무
39,08:16:00,08:21:00,풍무,고촌
39,08:21:00,08:28:00,고촌,김포공항
40,07:57:00,08:00:00,양촌,구래
40,08:00:00,08:03:00,구래,마산
40,08:03:00,08:07:00,마산,장기
40,08:07:00,08:10:00,장기,운양
40,08:10:00,08:14:00,운양,걸포북변
40,08:14:00,08:17:00,걸포북변,사우
40,08:17:00,08:19:00,사우,풍무
40,08:19:00,08:24:00,풍무,고촌
40,08:24:00,08:31:00,고촌,김포공항
41,08:00:00,08:03:00,양촌,구래
41,08:03:00,08:06:00,구래,마산
41,08:06:00,08:10:00,마산,장기
41,08:10:00,08:13:00,장기,운양
41,08:13:00,08:17:00,운양,걸포북변
41,08:17:00,08:20:00,걸포북변,사우
41,08:20:00,08:22:00,사우,풍무
41,08:22:00,08:27:00,풍무,고촌
41,08:27:00,08:34:00,고촌,김포공항
42,08:03:00,08:06:00,양촌,구래
42,08:06:00,08:10:00,구래,마산
42,08:10:00,08:13:00,마산,장기
42,08:13:00,08:16:00,장기,운양
42,08:16:00,08:20:00,운양,걸포북변
42,08:20:00,08:23:00,걸포북변,사우
42,08:23:00,08:25:00,사우,풍무
42,08:25:00,08:30:00,풍무,고촌
42,08:30:00,08:37:00,고촌,김포공항
43,08:06:00,08:09:00,양촌,구래
43,08:09:00,08:13:00,구래,마산
43,08:13:00,08:17:00,마산,장기
43,08:17:00,08:19:00,장기,운양
43,08:19:00,08:23:00,운양,걸포북변
43,08:23:00,08:26:00,걸포북변,사우
43,08:26:00,08:28:00,사우,풍무
43,08:28:00,08:33:00,풍무,고촌
43,08:33:00,08:40:00,고촌,김포공항
44,08:10:00,08:13:00,양촌,구래
44,08:13:00,08:16:00,구래,마산
44,08:16:00,08:20:00,마산,장기
44,08:20:00,08:22:00,장기,운양
44,08:22:00,08:26:00,운양,걸포북변
44,08:26:00,08:29:00,걸포북변,사우
44,08:29:00,08:32:00,사우,풍무
44,08:32:00,08:36:00,풍무,고촌
44,08:36:00,08:43:00,고촌,김포공항
45,08:13:00,08:16:00,양촌,구래
45,08:16:00,08:19:00,구래,마산
45,08:19:00,08:23:00,마산,장기
45,08:23:00,08:25:00,장기,운양
45,08:25:00,08:30:00,운양,걸포북변
45,08:30:00,08:32:00,걸포북변,사우
45,08:32:00,08:35:00,사우,풍무
45,08:35:00,08:39:00,풍무,고촌
45,08:39:00,08:46:00,고촌,김포공항
46,08:16:00,08:19:00,양촌,구래
46,08:19:00,08:22:00,구래,마산
46,08:22:00,08:26:00,마산,장기
46,08:26:00,08:28:00,장기,운양
46,08:28:00,08:33:00,운양,걸포북변
46,08:33:00,08:35:00,걸포북변,사우
46,08:35:00,08:38:00,사우,풍무
46,08:38:00,08:42:00,풍무,고촌
46,08:42:00,08:49:00,고촌,김포공항
47,08:19:00,08:22:00,양촌,구래
47,08:22:00,08:25:00,구래,마산
47,08:25:00,08:29:00,마산,장기
47,08:29:00,08:32:00,장기,운양
47,08:32:00,08:36:00,운양,걸포북변
47,08:36:00,08:39:00,걸포북변,사우
47,08:39:00,08:41:00,사우,풍무
47,08:41:00,08:45:00,풍무,고촌
47,08:45:00,08:52:00,고촌,김포공항
48,08:23:00,08:26:00,양촌,구래
48,08:26:00,08:29:00,구래,마산
48,08:29:00,08:33:00,마산,장기
48,08:33:00,08:35:00,장기,운양
48,08:35:00,08:40:00,운양,걸포북변
48,08:40:00,08:42:00,걸포북변,사우
48,08:42:00,08:45:00,사우,풍무
48,08:45:00,08:49:00,풍무,고촌
48,08:49:00,08:56:00,고촌,김포공항
49,08:28:00,08:31:00,양촌,구래
49,08:31:00,08:34:00,구래,마산
49,08:34:00,08:38:00,마산,장기
49,08:38:00,08:40:00,장기,운양
49,08:40:00,08:45:00,운양,걸포북변
